update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
26 0.0789 -157.8619 2316.6963 1.5000 -942.8140 318.9471 0.5000 -2036.5184 -1776.9663 1.1000 -2107.4297 -568.5427 1.8000 -2057.0751 712.6813 3.0000 -2728.4001 506.8947 4.5000 -3497.0487 -2314.7632 6.2069 -3735.6778 -1942.2930 5.6750 -2633.9200 -1724.9843 5.2000 -4025.4453 -195.8376
27 0.0263 -271.2437 2316.6963 1.5556 -977.6206 318.9471 0.9000 -2094.5977 -1776.9663 0.8095 -2211.7115 -568.5427 1.7500 -1550.0178 712.6813 2.7692 -2968.6840 506.8947 4.6957 -3306.6081 -2314.7632 5.8000 -3775.6288 -1942.2930 5.7750 -2606.1859 -1724.9843 5.3750 -4047.0915 -195.8376
28 0.0380 -237.8912 2316.6963 1.8571 -750.4586 34.5890 1.2727 -2073.9890 318.9471 0.5882 -2097.7880 -568.5427 1.7250 -1711.8370 712.6813 2.4865 -3138.6646 -1160.1119 4.3750 -3255.8478 -2314.7632 6.2750 -3880.4962 -1942.2930 5.6250 -2617.9238 -2052.7375 5.5250 -4160.0813 -2821.9725
29 0.0769 -252.4602 2074.0626 0.7500 -1417.4935 -508.1805 1.5385 -1419.7527 318.9471 1.0000 -2233.6364 -568.5427 1.7000 -1907.7176 712.6813 2.5455 -2742.9566 -285.0269 3.8378 -3506.8952 -2314.7632 6.7500 -4002.8941 -2137.3732 5.7250 -2579.7352 -1613.5739 5.7000 -4227.1815 -3176.1635
30 0.0667 -233.2766 1386.5946 0.1429 -2776.7427 -2093.6321 1.5714 -1285.1631 318.9471 1.0769 -2139.5037 -568.5427 1.6500 -1964.1102 712.6813 2.8065 -2618.1601 -285.0269 3.7750 -3561.1804 -2314.7632 6.4138 -3891.5229 -2334.1220 5.9000 -2544.7682 -1613.5739 5.8250 -4243.7501 -3176.1635
31 0.0282 -119.4633 1799.1317 1.3000 -2181.1374 -1561.3471 1.1176 -1585.2441 318.9471 1.3571 -2217.5475 -568.5427 1.7250 -2134.4665 712.6813 2.8065 -2618.1601 -285.0269 3.7500 -3577.5888 -2358.7231 6.5806 -3915.5817 -2334.1220 5.9750 -2538.3901 -1600.5997 6.0500 -4311.7558 -3423.1405
32 0.0769 -190.5269 2246.3704 1.1667 -1928.8782 -274.0164 1.4000 -1561.1105 318.9471 1.2000 -2376.7647 -568.5427 1.7750 -2339.7883 712.6813 2.7500 -2631.4471 -285.0269 3.6500 -3685.2440 -2384.6827 6.6667 -3806.3144 -2334.1220 6.0750 -2555.9144 -1613.5739 6.3250 -4379.9626 -3423.1405
33 0.0875 -144.1073 1606.1600 1.0000 -1866.7835 -274.0164 1.5000 -1549.1110 318.9471 1.1364 -2459.1740 -568.5427 1.9200 -1886.2018 712.6813 2.8250 -2678.8386 -285.0269 4.0000 -3488.0514 -2545.3648 5.7750 -3877.8657 -2334.1220 6.2000 -2553.3240 -1166.7877 6.5500 -4400.4101 -3423.1405
34 0.1127 -116.8915 1871.9832 1.0000 -2348.7885 -274.0164 1.7000 -1606.9131 34.5890 1.3810 -1984.5081 318.9471 1.4516 -2043.0926 712.6813 2.9500 -2751.0839 -285.0269 3.6296 -3455.9758 -2545.3648 5.0882 -3778.5504 -2410.4697 7.0769 -2965.6173 -1166.7877 6.4000 -4055.5962 -1897.6347
35 0.0658 -61.1450 2529.2404 0.8571 -1034.6889 -213.0615 1.3750 -2213.3577 -274.0164 1.7059 -1829.8819 318.9471 1.3939 -1949.4272 712.6813 2.5000 -2408.3101 90.9266 3.5250 -3528.3544 -1944.6955 4.8974 -3758.5913 -2410.4697 7.3250 -3128.5923 -1166.7877 6.7500 -4170.9625 -2749.4149
36 0.0400 -111.6814 1807.5118 1.1111 -1043.1984 209.6200 1.2308 -2178.3192 -274.0164 1.7000 -1803.1846 318.9471 1.2857 -2003.0023 712.6813 2.5000 -2404.6577 90.9266 3.3415 -3608.0724 -1403.0591 4.4000 -3696.7552 -2410.4697 7.4595 -3421.0420 -1166.7877 7.0000 -4263.9046 -2749.4149
37 0.0658 -146.6051 2241.2497 1.2727 -965.1438 209.6200 1.2667 -2217.0738 -274.0164 1.6562 -1883.1295 34.5890 1.4500 -2087.1252 712.6813 2.4848 -2284.1547 90.9266 3.4146 -3659.8988 -1616.6304 3.7105 -3860.0111 -2479.8875 7.6500 -3362.3248 -1166.7877 7.2750 -4453.8660 -2749.4149
38 0.0519 -40.3823 2241.2497 1.1000 -1197.4397 209.6200 1.1765 -1663.2185 -213.0615 1.9688 -1822.7974 34.5890 1.6250 -2222.0210 712.6813 2.3500 -2357.5778 90.9266 3.5714 -3687.3481 -1616.6304 3.5750 -3935.8596 -2479.8875 7.8750 -3582.1382 -1166.7877 7.6000 -4561.5789 -2749.4149
39 0.1053 -74.8682 1789.2259 0.4444 -1518.9495 -309.1604 1.4211 -1411.3667 209.6200 1.8333 -1866.3448 34.5890 1.8000 -2508.8666 -455.1067 2.4359 -2506.5576 90.9266 3.4737 -3560.9305 -1616.6304 4.0882 -3887.2760 -2479.8875 7.8250 -3719.1093 -1166.7877 7.8750 -4647.4262 -2749.4149
40 0.0526 -41.9908 1789.2259 0.7143 -1613.6527 -309.1604 1.1500 -1278.4367 209.6200 1.8125 -1924.2870 34.5890 2.0250 -2597.0768 -455.1067 2.5897 -2623.9356 90.9266 3.5250 -3591.0963 -1764.2595 4.0811 -3844.6527 -2264.1041 8.1250 -3943.0350 -1613.5739 8.2000 -4744.9034 -3423.1405
41 0.0519 -132.6118 1823.5819 1.5000 -1185.6606 16.0917 1.1364 -1257.1926 209.6200 1.5429 -1938.4373 34.5890 2.0556 -2641.0902 -455.1067 2.6667 -2620.5326 -285.0269 3.4500 -3730.3471 -1764.2595 4.2250 -3838.9341 -2264.1041 8.4750 -4149.2913 -1885.1170 8.3250 -4740.9505 -3423.1405
42 0.0625 46.1707 2070.1541 1.0000 -1171.2794 16.0917 1.3500 -1166.9942 209.6200 1.5000 -1841.1859 34.5890 2.2000 -2553.9842 -455.1067 2.7500 -2657.1177 -285.0269 3.5000 -3463.8333 -1764.2595 4.1750 -3860.2625 -2264.1041 8.6250 -4151.1743 -1885.1170 8.6250 -4713.2951 -3291.6966
43 0.0649 -101.2660 2070.1541 0.2500 -1167.0913 707.0872 1.5263 -1066.8425 209.6200 1.6471 -1908.6822 34.5890 1.6875 -2130.2493 -455.1067 2.9250 -2726.4351 -285.0269 3.5417 -3441.4183 -1764.2595 4.1750 -3855.2329 -2264.1041 8.8750 -4082.0100 -1885.1170 8.8750 -4819.3812 -3423.1405
