update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
26 0.8684 -157.8619 2316.6963 7.5000 -942.8140 318.9471 11.8333 -2036.5184 -1776.9663 20.6000 -2107.4297 -568.5427 32.6000 -2057.0751 712.6813 48.7778 -2728.4001 506.8947 91.5750 -3497.0487 -2314.7632 124.9655 -3735.6778 -1942.2930 162.2750 -2633.9200 -1724.9843 220.6750 -4025.4453 -195.8376
27 0.9605 -271.2437 2316.6963 8.2222 -977.6206 318.9471 12.4000 -2094.5977 -1776.9663 20.8095 -2211.7115 -568.5427 30.8438 -1550.0178 712.6813 48.8462 -2968.6840 506.8947 87.4348 -3306.6081 -2314.7632 124.1250 -3775.6288 -1942.2930 169.8500 -2606.1859 -1724.9843 226.3250 -4047.0915 -195.8376
28 0.9241 -237.8912 2316.6963 8.7143 -750.4586 34.5890 12.5455 -2073.9890 318.9471 20.6471 -2097.7880 -568.5427 30.1750 -1711.8370 712.6813 50.5676 -3138.6646 -1160.1119 81.0833 -3255.8478 -2314.7632 131.3500 -3880.4962 -1942.2930 180.0500 -2617.9238 -2052.7375 233.2250 -4160.0813 -2821.9725
29 1.1410 -252.4602 2074.0626 8.0000 -1417.4935 -508.1805 11.9231 -1419.7527 318.9471 19.8667 -2233.6364 -568.5427 29.7000 -1907.7176 712.6813 50.1212 -2742.9566 -285.0269 77.6216 -3506.8952 -2314.7632 141.9750 -4002.8941 -2137.3732 190.3250 -2579.7352 -1613.5739 242.2000 -4227.1815 -3176.1635
30 1.0533 -233.2766 1386.5946 8.7143 -2776.7427 -2093.6321 12.4286 -1285.1631 318.9471 19.6154 -2139.5037 -568.5427 30.4500 -1964.1102 712.6813 50.1613 -2618.1601 -285.0269 80.0250 -3561.1804 -2314.7632 138.9655 -3891.5229 -2334.1220 196.7750 -2544.7682 -1613.5739 246.0000 -4243.7501 -3176.1635
31 0.7887 -119.4633 1799.1317 8.2000 -2181.1374 -1561.3471 12.4118 -1585.2441 318.9471 18.8571 -2217.5475 -568.5427 32.2250 -2134.4665 712.6813 51.2258 -2618.1601 -285.0269 83.5250 -3577.5888 -2358.7231 142.3548 -3915.5817 -2334.1220 214.5250 -2538.3901 -1600.5997 248.8250 -4311.7558 -3423.1405
32 0.9615 -190.5269 2246.3704 8.0000 -1928.8782 -274.0164 12.4000 -1561.1105 318.9471 19.5000 -2376.7647 -568.5427 34.8500 -2339.7883 712.6813 52.1875 -2631.4471 -285.0269 89.3750 -3685.2440 -2384.6827 143.2667 -3806.3144 -2334.1220 223.1250 -2555.9144 -1613.5739 256.3750 -4379.9626 -3423.1405
33 1.1500 -144.1073 1606.1600 8.5000 -1866.7835 -274.0164 13.3636 -1549.1110 318.9471 20.4545 -2459.1740 -568.5427 34.1600 -1886.2018 712.6813 52.3000 -2678.8386 -285.0269 88.0000 -3488.0514 -2545.3648 135.8500 -3877.8657 -2334.1220 231.5500 -2553.3240 -1166.7877 260.8500 -4400.4101 -3423.1405
34 1.1127 -116.8915 1871.9832 8.9091 -2348.7885 -274.0164 13.8000 -1606.9131 34.5890 19.4762 -1984.5081 318.9471 31.8065 -2043.0926 712.6813 51.8000 -2751.0839 -285.0269 84.0741 -3455.9758 -2545.3648 133.1765 -3778.5504 -2410.4697 215.7949 -2965.6173 -1166.7877 266.1000 -4055.5962 -1897.6347
35 1.1316 -61.1450 2529.2404 7.8571 -1034.6889 -213.0615 12.4375 -2213.3577 -274.0164 18.2941 -1829.8819 318.9471 31.7273 -1949.4272 712.6813 48.4667 -2408.3101 90.9266 77.0250 -3528.3544 -1944.6955 132.3846 -3758.5913 -2410.4697 213.7500 -3128.5923 -1166.7877 270.0250 -4170.9625 -2749.4149
36 0.9867 -111.6814 1807.5118 7.6667 -1043.1984 209.6200 12.0769 -2178.3192 -274.0164 19.3000 -1803.1846 318.9471 31.9429 -2003.0023 712.6813 47.1000 -2404.6577 90.9266 77.3171 -3608.0724 -1403.0591 130.8500 -3696.7552 -2410.4697 202.8378 -3421.0420 -1166.7877 275.8250 -4263.9046 -2749.4149
